participant_id	age	sex	group
sub-0004	28	F	control
sub-0005	26	M	control
sub-0001	23	F	control
sub-0003	25	M	control
sub-0006	27	M	control
sub-0009	25	M	control
sub-0002	24	F	control
sub-0008	27	F	control
sub-0007	24	F	control
sub-0010	26	F	control
sub-0016	27	F	control
sub-0011	25	F	control
sub-0013	32	F	control
sub-0015	27	F	control
sub-0017	19	M	control
sub-0014	19	M	control
sub-0020	19	F	control
sub-0024	19	F	control
sub-0023	19	M	control
sub-0019	26	F	control
sub-0018	28	F	control
sub-0021	19	F	control
sub-0025	19	M	control
sub-0026	28	M	control
sub-0029	31	F	control
sub-0028	32	F	control
sub-0052	20	F	control
sub-0057	26	F	control
sub-0031	23	M	control
sub-0032	23	F	control
sub-0039	21	F	control
sub-0033	23	M	control
sub-0034	27	F	control
sub-0035	20	M	control
sub-0036	25	M	control
sub-0037	22	M	control
sub-0038	26	F	control
sub-0041	24	F	control
sub-0040	23	F	control
sub-0043	24	M	control
sub-0044	23	F	control
sub-0046	20	M	control
sub-0047	19	F	control
sub-0059	29	F	control
sub-0050	25	M	control
sub-0030	25	M	control
sub-0056	24	F	control
sub-0051	21	M	control
sub-0053	31	M	control
sub-0055	20	M	control
sub-0061	27	F	control
sub-0058	22	M	control
sub-0063	23	F	control
sub-0062	23	M	control
sub-0060	23	F	control
sub-0064	26	F	control
sub-0065	30	F	control
sub-0068	25	M	control
sub-0066	26	M	control
sub-0071	31	M	control
sub-0070	26	F	control
sub-0069	26	M	control
sub-0075	43	F	control
sub-0076	25	M	control
sub-0079	17	M	control
sub-0077	19	F	control
sub-0073	24	F	control
sub-0074	32	F	control
sub-0080	20	M	control
sub-0078	23	F	control
sub-0081	26	M	control
sub-0083	26	F	control
sub-0082	20	M	control
sub-0084	34	F	control
sub-0085	42	M	control
sub-0088	23	F	control
sub-0087	27	F	control
sub-0086	18	F	control
sub-0089	29	F	control
sub-0092	18	F	control
sub-0095	21	F	control
sub-0091	18	M	control
sub-0090	18	M	control
sub-0093	31	F	control
sub-0094	22	F	control
sub-0098	22	M	control
sub-0097	25	M	control
sub-0100	43	M	control
sub-0099	40	F	control
sub-0101	44	M	control
sub-0102	22	M	control
sub-0103	18	F	control
sub-0104	24	F	control
sub-0105	24	M	control
sub-0106	20	F	control
sub-0109	19	F	control
sub-0111	21	F	control
sub-0115	20	F	control
sub-0112	19	F	control
sub-0107	20	M	control
sub-0119	22	F	control
sub-0118	21	F	control
sub-0116	19	F	control
sub-0117	20	M	control
sub-0120	20	M	control
sub-0114	20	F	control
sub-0122	21	F	control
sub-0123	29	F	control
sub-0124	20	F	control
sub-0128	19	F	control
sub-0129	22	M	control
sub-0131	19	F	control
sub-0126	18	F	control
sub-0130	19	F	control
sub-0127	20	M	control
sub-0133	20	M	control
sub-0132	25	F	control
